,Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,PostedDate,AdditionInfo,AskPrice,Age_Group,Age_Group_1,Age_Group_2,Year_Bin
0,Honda,City,2001,23,98000.0,Manual,2.0,Petrol,Nov,"Honda City v teck in mint condition, valid genuine car,",195000.0,21-30,20-25,20-25,2000-2001
1,Toyota,Innova,2009,15,190000.0,Manual,2.0,Diesel,Jul,"Toyota Innova 2.5 G (Diesel) 7 Seater, 2009, Diesel",375000.0,11-15,14-16,14-16,2008-2009
2,Volkswagen,VentoTest,2010,14,77246.0,Manual,1.0,Diesel,Nov,"Volkswagen Vento 2010-2013 Diesel Breeze, 2010, Diesel",184999.0,11-15,12-14,12-14,2010-2011
3,Maruti Suzuki,Swift,2017,7,83500.0,Manual,2.0,Diesel,Nov,Maruti Suzuki Swift 2017 Diesel Good Condition,565000.0,6-10,6-8,6-8,2016-2017
4,Maruti Suzuki,Baleno,2019,5,45000.0,Automatic,1.0,Petrol,Nov,"Maruti Suzuki Baleno Alpha CVT, 2019, Petrol",685000.0,0-5,4-6,4-6,2018-2019
5,BMW,X3,2014,10,83000.0,Automatic,1.0,Diesel,Nov,"BMW X3 2.0 XDRIVE 20D, 2014, Diesel",1350000.0,6-10,8-10,8-10,2014-2015
6,Toyota,Innova,2014,10,168000.0,Manual,2.0,Diesel,Nov,"Toyota Innova 2.5 VX 8 Seater BS IV, 2014, Diesel",1025000.0,6-10,8-10,8-10,2014-2015
7,BMW,5 Series,2019,5,25000.0,Automatic,2.0,Diesel,Nov,"BMW 5 Series 3.0 530D M Sport, 2019, Diesel",5950000.0,0-5,4-6,4-6,2018-2019
8,Maruti Suzuki,maruti-suzuki-dzire,2020,4,33759.0,Manual,2.0,Petrol,Nov,"Maruti Suzuki Dzire 1.2 VXI, 2020, Petrol",622000.0,0-5,2-4,2-4,2020-2021
9,Ford,Ecosport,2017,7,69713.0,Manual,2.0,Petrol,Nov,"Ford Ecosport 1.5 Ti VCT MT Titanium BE, 2017, Petrol",649000.0,6-10,6-8,6-8,2016-2017
10,Maruti Suzuki,Alto-K10,2018,6,70000.0,Automatic,1.0,Petrol,Nov,"Maruti Suzuki Alto K10 VXI Airbag, 2018, Petrol",395000.0,6-10,4-6,4-6,2018-2019
11,Kia,Carnival,2021,3,25000.0,Automatic,1.0,Diesel,Nov,"Kia Carnival Premium 8 STR, 2021, Diesel",2900000.0,0-5,2-4,2-4,2020-2021
12,Maruti Suzuki,Swift-Dzire,2012,12,72700.0,Manual,2.0,Petrol,Nov,"Maruti Suzuki Swift Dzire VXI 1.2, 2012, Petrol",240000.0,11-15,10-12,10-12,2012-2013
13,Toyota,Corolla,2007,17,121931.0,Automatic,2.0,Petrol,Nov,Top End Fully Loaded Automatic  Corolla with  Advanced Seq. CNG,201350.0,16-20,16-18,16-18,2006-2007
14,Mercedes-Benz,GLE COUPE,2021,3,32000.0,Automatic,2.0,Petrol,Oct,"Mercedes-Benz GLE COUPE 3.0 53 AMG 4MATIC Plus, 2021, Petrol",11800000.0,0-5,2-4,2-4,2020-2021
15,Hyundai,Xcent,2018,6,130000.0,Manual,2.0,Diesel,Nov,"Hyundai Xcent S 1.2 OPT, 2018, Diesel",330000.0,6-10,4-6,4-6,2018-2019
16,Kia,Seltos,2020,4,68000.0,Manual,1.0,Diesel,Oct,"Kia Seltos HTK Plus D, 2020, Diesel",1045000.0,0-5,2-4,2-4,2020-2021
17,Maruti Suzuki,Ertiga,2016,8,65000.0,Manual,2.0,Diesel,Nov,"Maruti Suzuki Ertiga VDI SHVS, 2016, Diesel",785000.0,6-10,6-8,6-8,2016-2017
